"","logFC","logCPM","LR","PValue","FDR"
"oases6_CL12533Contig1_1",-9.32646080407733,3.10755441575956,21.7291056650442,3.13991062079721e-06,0.000563663842313331
"oases6_CL739Contig1_1",-5.20190270685182,5.78491929761634,21.7247204195898,3.14709626705998e-06,0.000563663842313331
"oases6_CL14017Contig1_2",-4.12661200535067,7.54230837450788,21.7200550776566,3.15475899323198e-06,0.000563663842313331
"oases6_k31_Locus_18875_Transcript_3_1",-5.96907472012823,4.65818934105764,21.6918674118695,3.20145653505735e-06,0.000568340623601784
"oases3_k49_Locus_289_Transcript_70_2",-4.55066445723439,5.79472516618826,21.6639394069144,3.2484079085975e-06,0.000573002602679612
"oases3_CL15Contig26_1",-4.10672745042119,5.64111083422035,21.6082140349984,3.3441658622885e-06,0.000580777584516692
"oases6_k31_Locus_21519_Transcript_1_1",7.86564402441209,3.89094140692912,21.6064979668653,3.34715927124352e-06,0.000580777584516692
"oases3_k31_Locus_37813_Transcript_3_1",4.43153896576149,5.74626568673766,21.6017823500067,3.35539876950497e-06,0.000580777584516692
"oases3_k37_Locus_41397_Transcript_1_1",-8.92012752066086,2.51532410423876,21.5725566417005,3.40692011680201e-06,0.000586032582078974
"oases6_CL177Contig1_1",-5.79108512433263,3.49830756073269,21.5475382381462,3.45165466953084e-06,0.000586520229699555
"oases3_CL10Contig29_1",-5.87233986905806,3.77847118710973,21.542370283466,3.46096850866735e-06,0.000586520229699555
"oases6_k37_Locus_43584_Transcript_1_1",10.0625515870932,3.94726728860159,21.5355543917982,3.47329088144461e-06,0.000586520229699555
"oases2_CL44Contig2_1",-5.24175834390758,4.66031873571853,21.5202076673991,3.50119744239318e-06,0.000587649466482647
"oases3_k25_Locus_53758_Transcript_1_1",6.85013521308567,7.90988317411331,21.4925329435436,3.55209121405506e-06,0.000589711929049098
"oases3_k43_Locus_22876_Transcript_3_1",5.54474152598481,5.21297936441758,21.483634720442,3.56861223142635e-06,0.000589711929049098
"oases3_CL3353Contig1_1",-5.35604781083784,4.06674794091781,21.4789360957899,3.57736708602038e-06,0.000589711929049098
"oases3_CL3Contig29_1",-4.35265751659835,7.28137963746886,21.4592270682485,3.61432595140608e-06,0.000589844421464669
"oases6_k25_Locus_1933_Transcript_15_1",-4.9243404276538,4.28927145453201,21.4558123780633,3.62076809594113e-06,0.000589844421464669
